sample_id,sample_type,habitat_type,site,watershed,sex,year,run_no
2020_MB_100,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_101,stickle_VI,stickle,mccreight,amor,m,2020,
2020_MB_103,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_105,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_108,stickle_VI,stickle,mccreight,amor,m,2020,
2020_MB_109,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_11,stickle_VI,stickle,lowcamp,campbell,m,2020,
2020_MB_110,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_111,stickle_VI,stickle,mccreight,amor,m,2020,
2020_MB_113,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_115,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_116,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_117,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_118,stickle_VI,stickle,mccreight,amor,m,2020,
2020_MB_120,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_122,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_123,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_124,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_125,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_126,stickle_VI,stickle,mccreight,amor,f,2020,
2020_MB_127,stickle_VI,stickle,mccreight,amor,m,2020,
2020_MB_129,stickle_VI,stickle,lilmud,amor,f,2020,
2020_MB_130,stickle_VI,stickle,lilmud,amor,f,2020,
2020_MB_131,stickle_VI,stickle,lilmud,amor,f,2020,
2020_MB_132,stickle_VI,stickle,lilmud,amor,m,2020,
2020_MB_133,stickle_VI,stickle,lilmud,amor,f,2020,
2020_MB_134,stickle_VI,stickle,lilmud,amor,f,2020,
2020_MB_139,stickle_VI,stickle,lowcamp,campbell,f,2020,
2020_MB_14,stickle_VI,stickle,lowcamp,campbell,m,2020,
2020_MB_140,stickle_VI,stickle,lowcamp,campbell,m,2020,
2020_MB_146,stickle_VI,stickle,lowcamp,campbell,m,2020,
2020_MB_147,stickle_VI,stickle,lowcamp,campbell,f,2020,
2020_MB_15,stickle_VI,stickle,lowcamp,campbell,m,2020,
2020_MB_150,stickle_VI,stickle,lowcamp,campbell,m,2020,
2020_MB_169,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_171,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_172,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_173,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_174,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_176,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_177,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_178,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_18,stickle_VI,stickle,lilmud,amor,f,2020,
2020_MB_180,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_181,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_182,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_183,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_184,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_185,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_186,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_187,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_188,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_189,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_19,stickle_VI,stickle,lilmud,amor,m,2020,
2020_MB_190,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_191,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_192,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_193,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_194,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_195,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_196,stickle_VI,stickle,mcnair,amor,m,2020,
2020_MB_197,stickle_VI,stickle,mcnair,amor,f,2020,
2020_MB_199,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_2,stickle_VI,stickle,boot,campbell,m,2020,
2020_MB_200,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_201,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_202,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_203,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_205,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_206,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_207,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_208,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_209,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_21,stickle_VI,stickle,lilmud,amor,m,2020,
2020_MB_210,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_211,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_212,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_213,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_214,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_215,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_216,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_217,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_218,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_219,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_221,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_222,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_223,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_224,stickle_VI,stickle,mud,amor,f,2020,
2020_MB_225,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_226,stickle_VI,stickle,mud,amor,m,2020,
2020_MB_23,stickle_VI,stickle,lilmud,amor,m,2020,
2020_MB_241,stickle_VI,stickle,merrill,campbell,f,2020,
2020_MB_242,stickle_VI,stickle,merrill,campbell,m,2020,
2020_MB_243,stickle_VI,stickle,merrill,campbell,m,2020,
2020_MB_244,stickle_VI,stickle,merrill,campbell,f,2020,
