site,longitude,latitude
Cascade,-119.30626,37.989774
Elizabeth,-119.36991,37.845185
Gardisky,-119.25151,37.956277
Granite 1,-119.27583,37.9217949
Granite 2,-119.27843,37.926453
Greenstone,-119.29034,37.979647
Helen,-119.22873,37.830661
Gaylor 1,-119.26885,37.9126276
May ,-119.49308,37.847477
Spillway ,-119.23244,37.841521
Sunrise 1,-119.45218,37.804151
Sunrise 3,-119.44326,37.806216
Gaylor 2,-119.26738,37.9226947
Wasco ,-119.29792,37.985032
Lukens,-119.6161,37.85989
amor,-125.559361,50.167528
bob,-125.559361,50.304472
boot,-125.530917,50.053889
brewster,-125.584556,50.098806
comox,-125.170833,49.617
echo,-125.411,49.986417
lawson,-125.575889,50.035972
lilgoose,-125.488778,50.163139
lilmud,-125.550361,50.206111
lowcamp,-125.478389,50.026167
lowstella,-125.544028,50.310944
mccreight,-125.6435,50.300944
mcnair,-125.576389,50.226444
merrill,-125.562861,50.061444
mohun,-125.497361,50.116194
muchalat,-126.199389,49.873528
mud,-125.555889,50.197639
ormund,-125.525806,50.180278
stella,-125.522722,50.289389
uppcamp,-125.660278,49.919389
